pathway,pval,padj,log2err,ES,NES,size,leadingEdge,subtype,go_id,term
GO:0032543 mitochondrial translation,1.115756401631522e-28,5.522912709060542e-25,1.3877460830534856,0.6754849890219208,3.3472088560168283,129,MRPL2;MRPL14;MRPL11;MRPL21;MRPL51;MRPL37;MRPL20;AURKAIP1;MRPS22;MRPS18A;GATC;TARS2;MRPL12;MRPS2;MRPL9;MRPL35;MRPL48;MRPL55;MRPS33;MRPS23;MRPS16;MRPS14;MRPL4;DAP3;MRPL3;MRPL46;MRPL36;MRPL22;NGRN;MRPL41;MRPS17;MRPL49;MRPL52;SHMT2;ALKBH1;CHCHD1;MRPS24;TACO1;MRPS6;TSFM;UQCC2;MRPL58;MRPS5;MRPS11;MRPL53;MRPS12;TRUB2;MRPS18C;MRPL18;CDK5RAP1;GADD45GIP1;YARS2;MRPL34;MRPS15;AARS2;MRPS34;DARS2;MRPS10;MRPS30;MRPS18B;RCC1L;RARS2;MPV17L2;MRPL24;MRPL15;MRPS7;MRPL45;MRPL54;MRPL27;MRPS26;MRPL30;QRSL1;MRPS21;MRPL38;MRPL57;GATB;C1QBP;MRPL23;MTG2;MRPL17;MRPL16,HGS,GO:0032543,mitochondrial translation
GO:0140053 mitochondrial gene expression,1.8164488436311603e-28,5.522912709060542e-25,1.3877460830534856,0.6110569953368845,3.1557632679165293,171,MRPL2;MRPL14;MRPL11;MRPL21;MRPL51;MRPL37;MRPL20;AURKAIP1;MRPS22;MRPS18A;HSD17B10;GATC;TARS2;MRPL12;MRPS2;MRPL9;MRPL35;MRPL48;MRPL55;MRPS33;MRPS23;SLC25A33;MRPS16;MRPS14;MRPL4;DAP3;MRPL3;MRPL46;SUPV3L1;MRPL36;POLR3A;MRPL22;NGRN;MRPL41;MRPS17;MRPL49;MRPL52;SHMT2;ALKBH1;FASTKD5;CHCHD1;MRPS24;TACO1;MRPS6;TSFM;UQCC2;MRPL58;MRPS5;MRPS11;MRPL53;MRPS12;TRUB2;MRPS18C;MRPL18;CDK5RAP1;GADD45GIP1;YARS2;MRPL34;MRPS15;AARS2;POLR1A;MRPS34;DARS2;TWNK;MRPS10;MRPS30;MRPS18B;TBRG4;RCC1L;RARS2;MPV17L2;MRPL24;MRPL15;MRPS7;MRPL45;MRPL54;THAP11;MRPL27;MRPS26;MRPL30;QRSL1;MRPS21;MRPL38;MRPL57;GATB;C1QBP;PPARGC1B;MRPL23;PUS1;KANSL3;MTG2;MRPL17;MRPL16;ELAC2;MRPL28;POLR1B;TUFM,HGS,GO:0140053,mitochondrial gene expression
GO:0022613 ribonucleoprotein complex biogenesis,3.9809845362919916e-26,8.069455655063867e-23,1.3267160980048087,0.43621442129790233,2.5212576137084968,448,ISG20L2;ISY1;POP7;ABT1;RPL7L1;PUF60;EXOSC4;SNRPG;RRP36;PRPF19;WDR74;BYSL;PNO1;USP39;RUVBL1;NOP2;CLP1;RPL35A;RPP30;SART1;MRPS2;SF3B2;SF3B4;SF3A3;SNRPC;LSG1;EIF4A3;NOC2L;POP4;RPUSD2;TSR2;EMG1;RPL35;SUV39H1;SNRPB;RPS27A;NOP16;RPS17;FAU;NHP2;RPL26L1;NGRN;WDR77;DDX49;RPS27;DDX47;GRWD1;PRPF31;MRTO4;RRP1;SF3B5;HSP90AB1;DDX39B;EXOSC5;DDX56;RBM10;NOL7;DKC1;SNIP1;AGO2;IMP4;GEMIN7;TRMT112;UTP14A;MCTS1;NOP9;EXOSC1;TSSC4;RPUSD1;AAR2;GTF3A;RUVBL2;BUD13;BOP1;LSM2;GEMIN6;PRMT5;ZNF622;U2AF2;TRMT2B;TSR3;GNL3L;URB2;RPL24;SNRNP200;EIF3K;GEMIN4;RAN;NSUN5;NOP10;EIF3I;WBP11;UTP4;LSM4;FBL;CDKN2A;RPP38;RPSA;SNRPD2;PIN4;PPAN;TXNL4A;LAS1L;EIF4H;REXO4;YJU2;RBMX2;RPS14;RPS8;EBNA1BP2;RPL38;EXOSC3;RCC1L;ZNF593;CELF4;RPS5;MPV17L2;PA2G4;PRPF6;LSM6;MRPS7;SRSF9;IMP3;UTP25;RPS12;RPS7;DHX37;NOL9;RPL5;MRM3;POP5;NOC4L;DDX28;RPS25;RPLP0P6;EIF6;RPP40;AATF;XAB2;TBL3;EIF3CL;NSUN4;NOP14;BUD23;DDX23;STRAP;RPLP0;SF3B3;ERAL1;C1QBP;EIF3B;USP4;RPS21;SURF6;RPS9;ADAR;RRP8;TARBP2;USP36;PRKRA;RPS28;SNRPB2;RPS23;SNRPE;NOL6;RPS6;EXOSC2;NUDT16;GEMIN5;MTG2;RPP25;RPL7A;PTGES3;PHF5A;SF1;NOP56;DDX54;RCL1;RPS11;SART3;AGO1;RPL26;NIP7;RPS3A;RPS15A;RPL13A;PRPF8;DDX31;WDR46;PRPF3;MRM2;RPS19;CINP;NOLC1;PDCD11;XRCC5;RPS19BP1;PELP1;FTSJ3;CD2BP2;PRMT7;PWP1;UTP11,HGS,GO:0022613,ribonucleoprotein complex biogenesis
GO:0006119 oxidative phosphorylation,2.3910995080349598e-20,3.635069027090148e-17,1.1690699667610949,0.5847235274557848,2.933969072029977,140,COX7A2;CYC1;SDHAF2;COX7B;NDUFB4;NDUFA9;COX8A;NDUFB9;NDUFB11;NDUFS6;ATP5MF;UQCC3;CHCHD2;NDUFS8;SDHC;ATP5F1B;UQCRFS1P1;SLC25A33;COX5B;PARK7;UQCRFS1;NDUFA8;COA6;NDUFS3;ATP5PF;COX5A;NDUFV1;NDUFB2;PPIF;SHMT2;NDUFB7;COX6A1;SDHB;COX7A2L;COX4I1;STOML2;ATP5ME;GHITM;UQCC2;NDUFS5;COX6B1;NDUFA11;NDUFA1;ATP5PO;NDUFA10;UQCRC1;AK4;ATP5PB;UQCRQ;NDUFS2;NDUFA13;UQCR10;NDUFS7;UQCRH;NDUFB5;COQ9;NDUFA2;NDUFAB1;ATP5MG;NDUFB3;NDUFC2;ATP5F1C;NDUFV3;FXN;NDUFAF1;ATP5F1E;DGUOK;SLC25A51;UQCR11;NDUFB10;NUPR1;NDUFB8;COX7C;ATP5PD;ABCD1;VCP;DNAJC30;NDUFA7;NDUFB1;NDUFA3;NDUFC2-KCTD14,HGS,GO:0006119,oxidative phosphorylation
GO:0009060 aerobic respiration,4.0236086741605156e-20,4.893512869514019e-17,1.1601795718302144,0.5278036876480154,2.7632058385367744,188,COX7A2;CYC1;SDHAF2;COX7B;NDUFB4;NDUFA9;COX8A;NDUFB9;MFN2;NDUFB11;NDUFS6;ATP5MF;MDH2;UQCC3;CHCHD2;NDUFS8;SDHC;ATP5F1B;UQCRFS1P1;SLC25A33;COX5B;OGDH;PARK7;UQCRFS1;NDUFA8;COA6;NDUFS3;ATP5PF;COX5A;NDUFV1;NDUFB2;PPIF;SHMT2;NDUFB7;COX6A1;SDHB;COX7A2L;COX4I1;STOML2;ATP5ME;PDHA1;GHITM;UQCC2;NDUFS5;COX6B1;NDUFA11;NDUFA1;ATP5PO;NDUFA10;UQCRC1;AK4;SUCLG1;ATP5PB;UQCRQ;NDUFS2;NDUFA13;PDHB;CS;DLST;UQCR10;NDUFS7;UQCRH;NDUFB5;COQ9;IDH3B;FH;ARL2;NDUFA2;NDUFAB1;ATP5MG;NDUFB3;NDUFC2;ATP5F1C;NDUFV3;FXN;NDUFAF1;ATP5F1E;DGUOK;SLC25A51;UQCR11;NDUFB10;NUPR1;NDUFB8;COX7C;ATP5PD;ABCD1;VCP;DNAJC30;NDUFA7;IDH3G;NDUFB1;NDUFA3;NDUFC2-KCTD14;COX10;PANK2;ATP5F1A;IDH1;NDUFB6;NDUFS1;BID;IDH2;MT-ND3;CHCHD10;BNIP3;BLOC1S1,HGS,GO:0009060,aerobic respiration
GO:0002181 cytoplasmic translation,5.829468179729582e-20,5.064142285847941e-17,1.1512205221422571,0.5508055236119986,2.826284981709151,164,YBX1;RBM4;PKP1;RPL35A;EIF4G1;RPS10;RPL35;RPS27A;RPS17;FAU;RPL26L1;RPL22;RPS27;RPL21;EEF1D;EIF2B3;RPL37;RPL36A;RPL8;MCTS1;EIF4A1;RPL39;FTSJ1;RPS18;CNBP;ALKBH3;RPL10A;RPL24;EIF3K;EIF3I;EIF2B5;RPL18A;RPSA;EIF2B2;RPL15;RPL37A;EIF4H;RPS14;RPS8;RPS2;RPL30;RPL10;RPL38;PKM;RPS5;UBA52;RPL41;RPS29;RPS12;RPS7;YBX3;RPL4;RPL36;RPL5;EIF2B1;MTOR;RPS25;RPLP0P6;RPL6;RPL12;RBM24;EIF3CL;RPLP1;RPLP0;EIF3B;RPS21;RPS3;RPS9;RPL9;RPL31;RPS28;RPLP2;RPS23;RPS6;RPL7A;SLBP;RPL32;SMYD5;RPS26;RPS11;RPL26;AKT2;EIF2B4;RPS3A;RPS15A;RPL13A;RPS20;RPL13;RPL18;RPS19,HGS,GO:0002181,cytoplasmic translation
GO:0007005 mitochondrion organization,4.999041794475537e-20,5.064142285847941e-17,1.1601795718302144,0.4063936424775108,2.335402691882472,422,COX7A2;CHCHD3;SDHAF2;JTB;DMAC1;EYA2;NDUFB4;PARL;HSD17B10;TIMMDC1;NDUFA9;TIMM10;NDUFB9;MFN2;SSBP1;PRELID1;NDUFB11;COX17;SIVA1;UQCC3;GSK3B;CHCHD2;NDUFS8;TOMM5;TOMM40;SLC25A33;MTX1;ATAD3A;ATG3;MTCH1;DNAJC11;PARK7;UQCRFS1;COA4;RAB5IF;SUPV3L1;NDUFA8;BAK1;VDAC2;NDUFS3;AKT1;PHB2;TMEM223;SQSTM1;NDUFAF5;TOMM6;HTRA2;NDUFB2;PPIF;ACAD9;NDUFB7;TIMM8A;COX7A2L;PEX5;HIGD2A;STOML2;TACO1;NAIF1;GHITM;UQCC2;POLDIP2;RALA;NDUFS5;ATPAF1;SIRT5;TMEM11;NDUFA11;NDUFA1;CEP89;BCL2L10;MTCH2;SLC25A5;NDUFA10;PARP1;BAD;GCLM;CHCHD6;NDUFAF4;FIS1;SHARPIN;ALKBH7;PGAM5;TIMM8B;FAM162A;TWNK;NDUFS2;FMC1;DNAJA3;AFG3L2;ATAD3B;LMNA;NDUFAF8;NDUFA13;GCLC;STMP1;SLIRP;RCC1L;RAB32;COX14;NDUFS7;MTFP1;P2RX7;IGF1;NDUFB5;ENDOG;CHCHD7;TMEM177;UQCC1;TIMM22;ROMO1;NDUFA2;PSMD10;NDUFAB1;NDUFB3;NDUFC2;BMF;ATAD3C;SDHAF1;PRMT6;MMP9;FXN;GABPB1;ZNF205;NDUFAF1;AGK;SIRT4;TMEM186;IMMT;NDUFAF6;CLUH;INF2;LONP1;NDUFB10;HSPA1A;PRKACA;AIFM2;CTCF;NDUFB8;ECSIT;SAMM50;PET100;RAB38;CHCHD4;PIM2;MAIP1;SLC25A6;MGME1;NDUFB1;NDUFA3;COX10;PANK2;TOMM22;COX16;PISD;TIMM13;TMEM102;BCS1L;PLSCR3;NDUFB6;AIFM1;IFI27L2;NDUFS1;BID;COA1;EDNRA;MIGA2;TP53;MTX2;FOXRED1;GSK3A;MUL1;AURKA;CHCHD10,HGS,GO:0007005,mitochondrion organization
GO:0042254 ribosome biogenesis,9.393113687940553e-20,7.139940542045814e-17,1.1512205221422571,0.45405223505768405,2.5238839655378786,304,ISG20L2;POP7;ABT1;RPL7L1;EXOSC4;RRP36;WDR74;BYSL;PNO1;NOP2;RPL35A;RPP30;SART1;MRPS2;LSG1;EIF4A3;NOC2L;POP4;RPUSD2;TSR2;EMG1;RPL35;SUV39H1;RPS27A;NOP16;RPS17;FAU;NHP2;RPL26L1;NGRN;DDX49;RPS27;DDX47;GRWD1;MRTO4;RRP1;EXOSC5;DDX56;RBM10;NOL7;DKC1;IMP4;TRMT112;UTP14A;NOP9;EXOSC1;RPUSD1;GTF3A;BOP1;ZNF622;TRMT2B;TSR3;GNL3L;URB2;RPL24;GEMIN4;RAN;NSUN5;NOP10;WBP11;UTP4;FBL;CDKN2A;RPP38;RPSA;PIN4;PPAN;LAS1L;REXO4;RPS14;RPS8;EBNA1BP2;RPL38;EXOSC3;RCC1L;ZNF593;RPS5;MPV17L2;PA2G4;LSM6;MRPS7;IMP3;UTP25;RPS12;RPS7;DHX37;NOL9;RPL5;MRM3;POP5;NOC4L;DDX28;RPS25;RPLP0P6;EIF6;RPP40;AATF;TBL3;NSUN4;NOP14;BUD23;RPLP0;ERAL1;C1QBP;RPS21;SURF6;RPS9;RRP8;USP36;RPS28;RPS23;NOL6;RPS6;EXOSC2;NUDT16;MTG2;RPP25;RPL7A;NOP56;DDX54;RCL1;RPS11;RPL26;NIP7;RPS3A;RPS15A;DDX31;WDR46;MRM2;RPS19;CINP;NOLC1;PDCD11;XRCC5;RPS19BP1;PELP1;FTSJ3;PWP1;UTP11;NAT10;GAR1;DDX27;PAK1IP1;RPL11;PES1;ERCC2;RRS1;WDR55;RRP9;NUP88;NPM3;TSR1;PIH1D1;KRI1;RPS15;MTERF4;NGDN;SIRT7;YTHDF2;RPS24;RPF1;NSUN3;SDE2;METTL16;METTL5;RPS16;MYBBP1A;SNU13;MCAT,HGS,GO:0042254,ribosome biogenesis
GO:0015980 energy derivation by oxidation of organic compounds,1.4447912169634192e-18,9.7619726559495e-16,1.114664477517292,0.42873400513716153,2.400650593988873,324,COX7A2;CYC1;SDHAF2;COX7B;NDUFB4;NDUFA9;COX8A;NDUFB9;MFN2;PRELID1;NDUFB11;NDUFS6;ATP5MF;MDH2;UQCC3;NHLRC1;GSK3B;CHCHD2;NDUFS8;SDHC;GYG1;ATP5F1B;UQCRFS1P1;PPP1R3F;SLC25A33;PPP1CA;COX5B;OGDH;ATG3;STK40;PARK7;UQCRFS1;NDUFA8;COA6;NDUFS3;AKT1;ATP5PF;COX5A;NDUFV1;NDUFB2;PPIF;SHMT2;NDUFB7;COX6A1;SDHB;COX7A2L;SLC35A4;COX4I1;STOML2;ATP5ME;PDHA1;WDR45;GHITM;UQCC2;NDUFS5;WDR45B;COX6B1;NDUFA11;NDUFA1;GCK;WIPI2;ATP5PO;NDUFA10;CISD1;UQCRC1;AK4;SUCLG1;INPP5K;ATP5PB;UQCRQ;GFPT2;NDUFS2;NDUFA13;PDHB;CS;GRB10;DLST;UQCR10;NDUFS7;IGF1;UQCRH;NDUFB5;COQ9;IDH3B;FH;TREX1;ARL2;NDUFA2;NDUFAB1;ATP5MG;MTOR;NDUFB3;NDUFC2;ATP5F1C;NDUFV3;MT3;PPP1R2;RUBCNL;TRAP1;FXN;NDUFAF1;ATP5F1E;DGUOK;SLC25A51;UQCR11;NDUFB10;AIFM2;NUPR1;NDUFB8;COX7C;PTGES3;SLC25A13;ATP5PD;IL10RB;ABCD1;VCP;CHCHD4;IRS2;DNAJC30;NDUFA7;IDH3G;NDUFB1;NDUFA3;NDUFC2-KCTD14;AKT2;COX10;PANK2;IFNLR1;ATP5F1A;IGF2;IDH1;NDUFB6;DYRK2;NDUFS1;BID;TP53;IDH2;GSK3A;PHKG2;MT-ND3;CHCHD10,HGS,GO:0015980,energy derivation by oxidation of organic compounds
GO:0033108 mitochondrial respiratory chain complex assembly,1.8342333104667255e-18,1.115397276094816e-15,1.1053365773140096,0.6109409169845512,2.9585815944497544,113,COX7A2;SDHAF2;DMAC1;NDUFB4;TIMMDC1;NDUFA9;NDUFB9;NDUFB11;COX17;UQCC3;NDUFS8;SLC25A33;UQCRFS1;COA4;RAB5IF;NDUFA8;NDUFS3;TMEM223;NDUFAF5;NDUFB2;ACAD9;NDUFB7;COX7A2L;HIGD2A;TACO1;UQCC2;NDUFS5;ATPAF1;NDUFA11;NDUFA1;NDUFA10;NDUFAF4;NDUFS2;FMC1;NDUFAF8;NDUFA13;STMP1;COX14;NDUFS7;NDUFB5;CHCHD7;TMEM177;UQCC1;NDUFA2;NDUFAB1;NDUFB3;NDUFC2;SDHAF1;FXN;NDUFAF1;TMEM186;NDUFAF6;NDUFB10;NDUFB8;ECSIT;SAMM50;PET100;CHCHD4;NDUFB1;NDUFA3;COX16;BCS1L;NDUFB6;AIFM1;NDUFS1;COA1;FOXRED1,HGS,GO:0033108,mitochondrial respiratory chain complex assembly
GO:0016072 rRNA metabolic process,2.907487747805582e-18,1.6073120904005223e-15,1.1053365773140096,0.4612264579158615,2.514221131478972,255,POP7;ABT1;RPL7L1;EXOSC4;RRP36;WDR74;BYSL;NOP2;RPL35A;RPP30;SART1;TRIR;EIF4A3;POP4;RPUSD2;TSR2;EMG1;RPL35;SUV39H1;TCOF1;RPS17;NHP2;DDX49;RPS27;DDX47;MRTO4;IPPK;RRP1;EXOSC5;DDX56;NOL7;DKC1;IMP4;TRMT112;UTP14A;NOP9;EXOSC1;RPUSD1;GTF3A;BOP1;TRMT2B;TSR3;GEMIN4;NSUN5;NOP10;WBP11;UTP4;FBL;CDKN2A;RPP38;PIN4;PPAN;DEDD;LAS1L;REXO4;RPS14;RPS8;GTF3C2;EBNA1BP2;EXOSC3;PA2G4;LSM6;IMP3;UTP25;RPS7;DHX37;NOL9;RPL5;GTF3C5;POLR1E;MRM3;MTOR;POP5;NOC4L;RPS25;EIF6;RPP40;TBL3;NSUN4;NOP14;BUD23;RPS21;POLR1D;GTF3C4;RRP8;USP36;RPS28;NOL6;RPS6;EXOSC2;NUDT16;RPP25;RPL7A;NOP56;DDX54;POLR1B;RCL1;RPL26;WDR46;MRM2;RPS19;NOLC1;PDCD11;BRF1;PELO;PELP1;TP53;FTSJ3;PWP1;UTP11;NAT10;GAR1;DDX27;PAK1IP1;MYC;RPL11;PES1;ERCC2;RRS1;WDR55;RRP9;NPM3;TSR1;PIH1D1;KRI1;RPS15;MTERF4;NGDN;SIRT7;YTHDF2;RPS24;RPF1;NSUN3;SDE2;METTL16;METTL5,HGS,GO:0016072,rRNA metabolic process
GO:0006091 generation of precursor metabolites and energy,3.3109290282415104e-18,1.6778132850613854e-15,1.1053365773140096,0.3887565779000981,2.2481967914824312,450,COX7A2;CYC1;SDHAF2;COX7B;NDUFB4;NDUFA9;COX8A;NDUFB9;ENO1;MFN2;PRELID1;NDUFB11;NDUFS6;COX17;ATP5MF;MDH2;UQCC3;NHLRC1;GSK3B;PGK1;CHCHD2;NDUFS8;SDHC;GYG1;ATP5F1B;UQCRFS1P1;PPP1R3F;TPI1;SLC25A33;PPP1CA;GAPDH;COX5B;OGDH;ATG3;STK40;PARK7;UQCRFS1;NDUFA8;COA6;NDUFS3;AKT1;ATP5PF;COX5A;NDUFV1;NDUFB2;PPIF;SHMT2;NDUFB7;COX6A1;SDHB;COX7A2L;SLC35A4;COX4I1;PFKL;STOML2;ATP5ME;PDHA1;WDR45;GHITM;UQCC2;HK1;NDUFS5;WDR45B;COX6B1;NDUFA11;NDUFA1;GCK;WIPI2;ATP5PO;NDUFA10;FOXK2;CISD1;UQCRC1;AK4;SUCLG1;ALDH1L1;INPP5K;ATP5PB;UQCRQ;GFPT2;G6PD;NDUFS2;GPI;PGD;GNPDA1;NDUFA13;PDHB;CS;GRB10;DLST;PGM1;PKM;UQCR10;HDAC4;NDUFS7;P2RX7;IGF1;UQCRH;NDUFB5;COQ9;IDH3B;ENOX2;PGAM1;THAP11;TALDO1;FH;TREX1;ARL2;NDUFA2;PPARD;NDUFAB1;ATP5MG;DERA;PGAM2;MTOR;EIF6;NDUFB3;NDUFC2;ATP5F1C;NDUFV3;MT3;PPP1R2;RUBCNL;TRAP1;FXN;FDX2;NDUFAF1;SLC2A6;ATP5F1E;DGUOK;SLC25A51;UQCR11;NDUFB10;PRKACA;AIFM2;NUPR1;NDUFB8;COX7C;PTGES3;SLC25A13;ATP5PD;IL10RB;ABCD1;VCP;CHCHD4;IRS2;DNAJC30;NDUFA7;IDH3G;NDUFB1;NDUFA3;NDUFC2-KCTD14;AKT2;COX10;PANK2;IFNLR1;ATP5F1A;IGF2;CXXC5;IDH1;NDUFB6;DYRK2;ALDOA;NDUFS1;BID;PPP2CA;TP53;IDH2;GSK3A;PHKG2;NDOR1;MT-ND3;CHCHD10,HGS,GO:0006091,generation of precursor metabolites and energy
GO:0009142 nucleoside triphosphate biosynthetic process,3.647980552781877e-18,1.706413057035892e-15,1.095929286431201,0.5989332423056832,2.9157822407708074,116,NDUFB4;NDUFA9;NDUFB9;ENO1;NDUFB11;NDUFS6;ATP5MF;UQCC3;NDUFS8;SDHC;ATP5F1B;ATP5MC3;UCK2;NDUFA8;NDUFS3;ATP5PF;NDUFV1;NDUFB2;NDUFB7;SDHB;STOML2;CTPS1;ATP5ME;NME2;NDUFS5;AK1;LDHC;NDUFA11;NDUFA1;ATP5PO;NDUFA10;PARP1;AK4;IMPDH1;ATP5PB;NDUFS2;DTYMK;ATP5MC1;NME1;NDUFA13;UCK1;NDUFS7;NDUFB5;NDUFA2;NDUFAB1;ATP5MG;NDUFB3;NDUFC2;ATP5F1C;NDUFV3;ATP5F1E;NDUFB10;NDUFB8;SLC25A13;ATP5PD;VCP;TBPL1;DNAJC30;NDUFA7;NDUFB1;NDUFA3;ATP5MC2;ATP5F1A;NME6;NDUFB6;ALDOA;NDUFS1,HGS,GO:0009142,nucleoside triphosphate biosynthetic process
GO:0045333 cellular respiration,9.787270856698364e-18,4.251171005684482e-15,1.0864405425824981,0.47758352726065906,2.570435117666657,229,COX7A2;CYC1;SDHAF2;COX7B;NDUFB4;NDUFA9;COX8A;NDUFB9;MFN2;PRELID1;NDUFB11;NDUFS6;ATP5MF;MDH2;UQCC3;CHCHD2;NDUFS8;SDHC;ATP5F1B;UQCRFS1P1;SLC25A33;COX5B;OGDH;PARK7;UQCRFS1;NDUFA8;COA6;NDUFS3;ATP5PF;COX5A;NDUFV1;NDUFB2;PPIF;SHMT2;NDUFB7;COX6A1;SDHB;COX7A2L;SLC35A4;COX4I1;STOML2;ATP5ME;PDHA1;GHITM;UQCC2;NDUFS5;COX6B1;NDUFA11;NDUFA1;ATP5PO;NDUFA10;CISD1;UQCRC1;AK4;SUCLG1;ATP5PB;UQCRQ;NDUFS2;NDUFA13;PDHB;CS;DLST;UQCR10;NDUFS7;UQCRH;NDUFB5;COQ9;IDH3B;FH;TREX1;ARL2;NDUFA2;NDUFAB1;ATP5MG;NDUFB3;NDUFC2;ATP5F1C;NDUFV3;TRAP1;FXN;NDUFAF1;ATP5F1E;DGUOK;SLC25A51;UQCR11;NDUFB10;AIFM2;NUPR1;NDUFB8;COX7C;SLC25A13;ATP5PD;IL10RB;ABCD1;VCP;CHCHD4;DNAJC30;NDUFA7;IDH3G;NDUFB1;NDUFA3;NDUFC2-KCTD14;COX10;PANK2;IFNLR1;ATP5F1A;IDH1;NDUFB6,HGS,GO:0045333,cellular respiration
GO:0009201 ribonucleoside triphosphate biosynthetic process,3.075180901108153e-17,1.2466783373092451e-14,1.0672099868281106,0.6018658605318007,2.8936095083691917,108,NDUFB4;NDUFA9;NDUFB9;ENO1;NDUFB11;NDUFS6;ATP5MF;UQCC3;NDUFS8;SDHC;ATP5F1B;ATP5MC3;UCK2;NDUFA8;NDUFS3;ATP5PF;NDUFV1;NDUFB2;NDUFB7;SDHB;STOML2;CTPS1;ATP5ME;NME2;NDUFS5;LDHC;NDUFA11;NDUFA1;ATP5PO;NDUFA10;PARP1;IMPDH1;ATP5PB;NDUFS2;ATP5MC1;NME1;NDUFA13;UCK1;NDUFS7;NDUFB5;NDUFA2;NDUFAB1;ATP5MG;NDUFB3;NDUFC2;ATP5F1C;NDUFV3;ATP5F1E;NDUFB10;NDUFB8;SLC25A13;ATP5PD;VCP;DNAJC30;NDUFA7;NDUFB1;NDUFA3;ATP5MC2;ATP5F1A;NME6;NDUFB6;ALDOA;NDUFS1,HGS,GO:0009201,ribonucleoside triphosphate biosynthetic process
GO:0009260 ribonucleotide biosynthetic process,2.30796899342968e-16,8.771724655653677e-14,1.0376961554875836,0.5178975218250502,2.6486539178804436,160,UMPS;NDUFB4;NDUFA9;NDUFB9;ENO1;NDUFB11;NDUFS6;ATP5MF;UQCC3;NDUFS8;SDHC;AK2;ATP5F1B;ATP5MC3;UCK2;NDUFA8;NDUFS3;ATP5PF;NDUFV1;NDUFB2;NDUFB7;SDHB;GUK1;STOML2;CTPS1;ATP5ME;NME2;NDUFS5;AK1;LDHC;NDUFA11;NDUFA1;GMPS;ATP5PO;NDUFA10;PARP1;AK4;IMPDH1;ATP5PB;GART;NDUFS2;ATP5MC1;NME1;NDUFA13;UCK1;ADCY8;ADCY1;NDUFS7;NDUFB5;NPR1;NDUFA2;NDUFAB1;ATP5MG;NDUFB3;NDUFC2;ATP5F1C;NDUFV3;ATP5F1E;GUCY1A2;NDUFB10;NDUFB8;SLC25A13;ATP5PD;VCP;DNAJC30;NDUFA7;NDUFB1;NDUFA3;ATP5MC2;ATP5F1A;NME6;NDUFB6;ALDOA;NDUFS1,HGS,GO:0009260,ribonucleotide biosynthetic process
GO:0009206 purine ribonucleoside triphosphate biosynthetic process,3.3547384284883144e-16,1.1497108581825188e-13,1.0376961554875836,0.5963241348247618,2.8388620433203196,102,NDUFB4;NDUFA9;NDUFB9;ENO1;NDUFB11;NDUFS6;ATP5MF;UQCC3;NDUFS8;SDHC;ATP5F1B;ATP5MC3;NDUFA8;NDUFS3;ATP5PF;NDUFV1;NDUFB2;NDUFB7;SDHB;STOML2;ATP5ME;NME2;NDUFS5;LDHC;NDUFA11;NDUFA1;ATP5PO;NDUFA10;PARP1;IMPDH1;ATP5PB;NDUFS2;ATP5MC1;NME1;NDUFA13;NDUFS7;NDUFB5;NDUFA2;NDUFAB1;ATP5MG;NDUFB3;NDUFC2;ATP5F1C;NDUFV3;ATP5F1E;NDUFB10;NDUFB8;SLC25A13;ATP5PD;VCP;DNAJC30;NDUFA7;NDUFB1;NDUFA3;ATP5MC2;ATP5F1A;NME6;NDUFB6;ALDOA;NDUFS1,HGS,GO:0009206,purine ribonucleoside triphosphate biosynthetic process
GO:0042773 ATP synthesis coupled electron transport,3.5922556003071635e-16,1.1497108581825188e-13,1.0376961554875836,0.6175518897508121,2.904813435450319,95,COX7A2;CYC1;SDHAF2;COX7B;NDUFB4;NDUFA9;COX8A;NDUFB9;NDUFS6;UQCC3;CHCHD2;NDUFS8;SDHC;UQCRFS1P1;COX5B;PARK7;UQCRFS1;NDUFA8;COA6;NDUFS3;COX5A;NDUFV1;NDUFB2;NDUFB7;COX6A1;SDHB;COX7A2L;COX4I1;GHITM;NDUFS5;COX6B1;NDUFA1;NDUFA10;UQCRC1;UQCRQ;NDUFS2;UQCR10;NDUFS7;UQCRH;NDUFB5;COQ9;NDUFA2;NDUFAB1;NDUFB3;NDUFC2;NDUFV3;NDUFAF1;DGUOK;UQCR11;NDUFB10;NDUFB8;COX7C;NDUFA7;NDUFB1;NDUFA3;NDUFC2-KCTD14;NDUFB6;NDUFS1;BID,HGS,GO:0042773,ATP synthesis coupled electron transport
GO:0042775 mitochondrial ATP synthesis coupled electron transport,3.5922556003071635e-16,1.1497108581825188e-13,1.0376961554875836,0.6175518897508121,2.904813435450319,95,COX7A2;CYC1;SDHAF2;COX7B;NDUFB4;NDUFA9;COX8A;NDUFB9;NDUFS6;UQCC3;CHCHD2;NDUFS8;SDHC;UQCRFS1P1;COX5B;PARK7;UQCRFS1;NDUFA8;COA6;NDUFS3;COX5A;NDUFV1;NDUFB2;NDUFB7;COX6A1;SDHB;COX7A2L;COX4I1;GHITM;NDUFS5;COX6B1;NDUFA1;NDUFA10;UQCRC1;UQCRQ;NDUFS2;UQCR10;NDUFS7;UQCRH;NDUFB5;COQ9;NDUFA2;NDUFAB1;NDUFB3;NDUFC2;NDUFV3;NDUFAF1;DGUOK;UQCR11;NDUFB10;NDUFB8;COX7C;NDUFA7;NDUFB1;NDUFA3;NDUFC2-KCTD14;NDUFB6;NDUFS1;BID,HGS,GO:0042775,mitochondrial ATP synthesis coupled electron transport
